















































Jul 01, 2022 115.65 115.65 111.20 111.55 111.55 34,719,560
Jun 30, 2022 117.70 117.80 115.50 115.80 115.80 20,430,245
Jun 29, 2022 118.70 119.55 118.50 118.80 118.80 6,271,996
Jun 28, 2022 120.80 120.80 119.25 119.80 119.80 10,808,460
Jun 27, 2022 119.80 121.45 119.80 120.95 120.95 16,680,954
Jun 24, 2022 118.65 119.30 117.95 118.15 118.15 10,768,382
Jun 23, 2022 119.80 119.80 117.25 117.90 117.90 16,872,943
Jun 22, 2022 121.70 121.70 119.35 119.50 119.50 15,108,994
Jun 21, 2022 120.95 122.20 120.35 122.20 122.20 6,482,625
Jun 20, 2022 120.90 120.95 119.50 119.75 119.75 10,564,277
Jun 17, 2022 121.00 121.50 120.40 120.85 120.85 19,671,555
Jun 16, 2022 124.10 125.00 122.25 122.50 122.50 12,767,922
Jun 15, 2022 123.00 123.60 122.65 122.75 122.75 8,848,327
Jun 14, 2022 122.60 123.55 122.10 123.35 123.35 11,889,780
Jun 13, 2022 124.10 124.25 123.45 123.55 123.55 16,866,775
Jun 10, 2022 126.80 127.40 126.40 127.10 127.10 4,249,603
Jun 09, 2022 128.20 128.50 127.65 128.40 128.40 1,927,275
Jun 08, 2022 128.50 129.10 128.15 128.80 128.80 3,979,050
Jun 07, 2022 127.95 127.95 126.85 127.40 127.40 4,841,440
Jun 06, 2022 128.25 129.00 127.45 128.70 128.70 4,027,825
Jun 02, 2022 128.45 128.45 127.60 127.80 127.80 4,429,653
Jun 01, 2022 129.30 130.05 129.00 129.15 129.15 6,406,682
May 31, 2022 128.45 129.80 127.60 129.80 129.80 7,025,667
May 30, 2022 127.25 128.60 127.05 128.55 128.55 14,542,630
May 27, 2022 124.15 125.80 124.05 125.50 125.50 11,700,393
May 26, 2022 125.00 125.00 122.85 122.90 122.90 5,804,968
May 25, 2022 123.70 124.70 123.45 124.45 124.45 2,567,573
May 24, 2022 125.00 125.20 123.40 123.50 123.50 5,069,187
May 23, 2022 125.30 125.60 124.50 124.90 124.90 2,678,893
May 20, 2022 123.75 124.95 123.65 124.65 124.65 3,665,416
May 19, 2022 123.45 123.80 122.65 123.30 123.30 7,258,370
May 18, 2022 125.35 126.00 125.25 125.70 125.70 6,316,611
May 17, 2022 123.15 124.50 123.15 124.35 124.35 4,165,551
May 16, 2022 123.45 124.00 122.50 123.00 123.00 5,726,166
May 13, 2022 122.10 122.35 121.55 122.35 122.35 7,026,550
May 12, 2022 123.00 123.00 121.20 121.25 121.25 11,938,815
May 11, 2022 123.85 124.45 123.30 124.20 124.20 8,049,901
May 10, 2022 122.15 124.10 121.55 124.00 124.00 13,844,143
May 09, 2022 125.50 125.55 124.50 124.55 124.55 12,930,248
May 06, 2022 126.45 126.85 125.95 126.65 126.65 17,050,883
May 05, 2022 129.50 129.80 128.95 129.25 129.25 6,225,604
May 04, 2022 128.30 128.45 127.50 127.80 127.80 9,899,693
May 03, 2022 128.55 128.70 127.45 127.80 127.80 6,281,269
Apr 29, 2022 128.90 129.50 128.25 128.75 128.75 11,884,431
Apr 28, 2022 127.35 127.40 125.95 127.10 127.10 11,542,841
Apr 27, 2022 127.00 127.00 126.05 126.55 126.55 28,746,564
Apr 26, 2022 129.75 129.80 128.85 129.25 129.25 9,352,352
Apr 25, 2022 130.00 130.05 128.65 129.25 129.25 32,212,970
Apr 22, 2022 131.40 131.75 130.85 131.60 131.60 11,200,337
Apr 21, 2022 133.25 133.60 132.65 132.75 132.75 3,984,094
Apr 20, 2022 132.20 132.70 131.65 132.65 132.65 6,762,135
Apr 19, 2022 132.25 132.95 131.85 132.00 132.00 9,059,509
Apr 18, 2022 132.00 132.25 131.15 131.55 131.55 17,962,021
Apr 15, 2022 132.85 133.05 132.00 132.25 132.25 20,692,379
Apr 14, 2022 135.75 135.75 134.55 134.55 134.55 4,947,994
Apr 13, 2022 133.40 135.20 133.20 135.05 135.05 7,046,713
Apr 12, 2022 132.15 132.85 131.60 132.55 132.55 14,218,880
Apr 11, 2022 134.15 134.45 132.20 132.45 132.45 16,709,415
Apr 08, 2022 134.10 134.55 133.75 134.55 134.55 8,942,218
Apr 07, 2022 135.10 135.10 133.80 133.80 133.80 14,747,866
Apr 06, 2022 135.25 136.35 135.00 136.25 136.25 11,562,914
Apr 01, 2022 136.60 136.95 136.15 136.95 136.95 7,698,756
Mar 31, 2022 138.55 138.65 138.10 138.10 138.10 3,559,638
Mar 30, 2022 138.05 138.70 138.05 138.55 138.55 8,166,267
Mar 29, 2022 137.00 137.20 136.60 136.85 136.85 6,443,554
Mar 28, 2022 137.00 137.00 135.55 136.70 136.70 10,506,177
Mar 25, 2022 138.40 138.50 137.90 138.20 138.20 4,874,198
Mar 24, 2022 137.50 138.10 137.05 138.00 138.00 4,277,141
